date,track_name,artist_name,uri,link,uri_real,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
"August 28, 2022 at 08:06AM",Under Control,The Strokes,3kKb3U3a8jmUJQB9ypE1Jl,https://open.spotify.com/track/3kKb3U3a8jmUJQB9ypE1Jl,spotify:track:3kKb3U3a8jmUJQB9ypE1Jl,0.406,0.72,1,-4.647,0.0291,0.354,0.795,0.0541,0.641,91.336,187307
"August 28, 2022 at 08:08AM",The Way It Is,The Strokes,5MZBOcqI3Vpvp2PZy6ddyD,https://open.spotify.com/track/5MZBOcqI3Vpvp2PZy6ddyD,spotify:track:5MZBOcqI3Vpvp2PZy6ddyD,0.482,0.95,11,-2.593,0.0495,0.000214,0.883,0.0938,0.856,137.074,141733
"August 28, 2022 at 08:11AM",The End Has No End,The Strokes,0dy6iXYIF0piirySAzCBwF,https://open.spotify.com/track/0dy6iXYIF0piirySAzCBwF,spotify:track:0dy6iXYIF0piirySAzCBwF,0.531,0.66,1,-3.725,0.0335,0.000833,0.855,0.226,0.533,136.027,185560
"August 28, 2022 at 08:14AM",I Can't Win,The Strokes,7eX5SypK35V8Y9d9pS6rWy,https://open.spotify.com/track/7eX5SypK35V8Y9d9pS6rWy,spotify:track:7eX5SypK35V8Y9d9pS6rWy,0.472,0.746,11,-4.816,0.0321,0.00581,0.663,0.0999,0.403,97.44,162040
"August 28, 2022 at 08:18AM",You Only Live Once,The Strokes,4fPBB44eDH71YohayI4eKV,https://open.spotify.com/track/4fPBB44eDH71YohayI4eKV,spotify:track:4fPBB44eDH71YohayI4eKV,0.63,0.908,11,-2.42,0.0326,0.0238,0.592,0.116,0.968,120.522,189227
"August 28, 2022 at 10:25PM",Do You Wanna Do Nothing with Me?,Lawrence,2M7UdnD0fEaryh8TnCvqFX,https://open.spotify.com/track/2M7UdnD0fEaryh8TnCvqFX,spotify:track:2M7UdnD0fEaryh8TnCvqFX,0.548,0.611,1,-9.0,0.131,0.17,0.00247,0.0762,0.725,201.985,251853
"August 28, 2022 at 10:29PM",Misty Morning,Lawrence,6LqZFfv4fUP7va14Y6VW9a,https://open.spotify.com/track/6LqZFfv4fUP7va14Y6VW9a,spotify:track:6LqZFfv4fUP7va14Y6VW9a,0.63,0.387,0,-10.009,0.114,0.429,0.00112,0.112,0.412,167.845,252027
"August 28, 2022 at 10:34PM",Probably Up,Lawrence,13HalBseZHAT19C6jWs1Ma,https://open.spotify.com/track/13HalBseZHAT19C6jWs1Ma,spotify:track:13HalBseZHAT19C6jWs1Ma,0.735,0.609,10,-5.574,0.0557,0.338,3.11e-05,0.381,0.704,95.489,254653
"August 28, 2022 at 10:38PM",So Damn Fast,Lawrence,04VtzZ6KCEZLoEomgVR4ln,https://open.spotify.com/track/04VtzZ6KCEZLoEomgVR4ln,spotify:track:04VtzZ6KCEZLoEomgVR4ln,0.499,0.521,9,-7.921,0.0396,0.517,0.0,0.127,0.39,73.201,284773
"August 28, 2022 at 10:41PM",Casualty,Lawrence,6nwxT0W6u4JYDGK5iyBOYt,https://open.spotify.com/track/6nwxT0W6u4JYDGK5iyBOYt,spotify:track:6nwxT0W6u4JYDGK5iyBOYt,0.34,0.643,0,-4.665,0.0813,0.0617,1.21e-05,0.124,0.667,92.228,143893
"August 28, 2022 at 10:43PM",Me & You,Lawrence,1v6bHfpBDaWD6tq8EE8AYG,https://open.spotify.com/track/1v6bHfpBDaWD6tq8EE8AYG,spotify:track:1v6bHfpBDaWD6tq8EE8AYG,0.319,0.752,7,-5.607,0.183,0.524,4.71e-05,0.396,0.885,195.361,204480
"August 28, 2022 at 08:29AM",Never Never,The Libertines,67ro5CI8btmAJsYfYKvM29,https://open.spotify.com/track/67ro5CI8btmAJsYfYKvM29,spotify:track:67ro5CI8btmAJsYfYKvM29,0.688,0.802,11,-4.321,0.0683,0.000384,0.0008,0.0652,0.649,111.63,147133
"August 29, 2022 at 03:37PM",Leaning On You,HAIM,6pp50upMirG815dEShJG7H,https://open.spotify.com/track/6pp50upMirG815dEShJG7H,spotify:track:6pp50upMirG815dEShJG7H,0.662,0.575,7,-8.342,0.0321,0.567,0.000979,0.101,0.636,94.001,201440
"August 29, 2022 at 03:47PM",Don't Wanna,HAIM,2GfQSB0wEEWYX4a2Go645R,https://open.spotify.com/track/2GfQSB0wEEWYX4a2Go645R,spotify:track:2GfQSB0wEEWYX4a2Go645R,0.762,0.498,8,-5.294,0.0481,0.161,9.55e-06,0.172,0.871,107.049,201787
"August 30, 2022 at 11:39AM",There’d Better Be A Mirrorball,Arctic Monkeys,0yowbJnnbTLpr99f9l1uba,https://open.spotify.com/track/0yowbJnnbTLpr99f9l1uba,spotify:track:0yowbJnnbTLpr99f9l1uba,0.513,0.369,3,-10.899,0.0307,0.634,0.0139,0.186,0.311,72.062,265798
"August 30, 2022 at 11:42AM",Snap Out Of It,Arctic Monkeys,0NdTUS4UiNYCNn5FgVqKQY,https://open.spotify.com/track/0NdTUS4UiNYCNn5FgVqKQY,spotify:track:0NdTUS4UiNYCNn5FgVqKQY,0.728,0.638,5,-6.455,0.0336,0.249,0.0,0.116,0.872,130.014,193030
"August 30, 2022 at 11:46AM",Black Summer,Red Hot Chili Peppers,2a5cbTg2UIi784t9E2wT35,https://open.spotify.com/track/2a5cbTg2UIi784t9E2wT35,spotify:track:2a5cbTg2UIi784t9E2wT35,0.417,0.682,1,-5.071,0.0295,0.0267,0.000669,0.109,0.351,105.542,232412
"August 30, 2022 at 11:50AM",Here Ever After,Red Hot Chili Peppers,0zckHMfaB6vT5o23ZVBLHJ,https://open.spotify.com/track/0zckHMfaB6vT5o23ZVBLHJ,spotify:track:0zckHMfaB6vT5o23ZVBLHJ,0.738,0.974,7,-4.185,0.0961,0.0117,0.819,0.131,0.554,120.037,230343
"August 30, 2022 at 11:54AM",Aquatic Mouth Dance,Red Hot Chili Peppers,38Ow67MO6ScViFHK1j2qgN,https://open.spotify.com/track/38Ow67MO6ScViFHK1j2qgN,spotify:track:38Ow67MO6ScViFHK1j2qgN,0.671,0.884,5,-4.987,0.07,0.00413,0.0186,0.147,0.811,99.631,260792
"August 30, 2022 at 11:59AM",Not the One,Red Hot Chili Peppers,2Uze78n7BgWsV91bUMtflX,https://open.spotify.com/track/2Uze78n7BgWsV91bUMtflX,spotify:track:2Uze78n7BgWsV91bUMtflX,0.597,0.472,7,-7.674,0.0318,0.475,0.000126,0.151,0.233,127.503,266326
"August 30, 2022 at 03:44PM",Poster Child,Red Hot Chili Peppers,6LwwlI0IvFTN6DRUDdkkT8,https://open.spotify.com/track/6LwwlI0IvFTN6DRUDdkkT8,spotify:track:6LwwlI0IvFTN6DRUDdkkT8,0.714,0.784,7,-5.423,0.0528,0.0467,0.00824,0.124,0.72,165.229,318422
"August 30, 2022 at 03:49PM",Poster Child,Red Hot Chili Peppers,6LwwlI0IvFTN6DRUDdkkT8,https://open.spotify.com/track/6LwwlI0IvFTN6DRUDdkkT8,spotify:track:6LwwlI0IvFTN6DRUDdkkT8,0.714,0.784,7,-5.423,0.0528,0.0467,0.00824,0.124,0.72,165.229,318422
"August 30, 2022 at 03:54PM",The Great Apes,Red Hot Chili Peppers,5Ek9NwB6PD3QNCDdSUJK5x,https://open.spotify.com/track/5Ek9NwB6PD3QNCDdSUJK5x,spotify:track:5Ek9NwB6PD3QNCDdSUJK5x,0.528,0.882,9,-5.146,0.0842,0.0196,0.000226,0.146,0.463,140.722,301829
"August 30, 2022 at 04:00PM",It's Only Natural,Red Hot Chili Peppers,2p0W20VwOJpXt323xv8OAJ,https://open.spotify.com/track/2p0W20VwOJpXt323xv8OAJ,spotify:track:2p0W20VwOJpXt323xv8OAJ,0.556,0.64,5,-6.965,0.0412,0.075,0.027,0.321,0.708,185.607,333547
"August 30, 2022 at 04:03PM",She's a Lover,Red Hot Chili Peppers,4c4TCbToFf6X8CncWJuHa3,https://open.spotify.com/track/4c4TCbToFf6X8CncWJuHa3,spotify:track:4c4TCbToFf6X8CncWJuHa3,0.726,0.606,5,-4.727,0.0348,0.00239,0.0065,0.111,0.419,104.724,221093
"August 30, 2022 at 04:07PM",These Are the Ways,Red Hot Chili Peppers,1KtXgVTeu3GUXHrOAef6QQ,https://open.spotify.com/track/1KtXgVTeu3GUXHrOAef6QQ,spotify:track:1KtXgVTeu3GUXHrOAef6QQ,0.42,0.905,9,-5.419,0.0804,0.00016,0.0212,0.253,0.306,127.62,236217
"August 30, 2022 at 04:11PM",Whatchu Thinkin',Red Hot Chili Peppers,37o0LxdGxiF3chjxjwJwBD,https://open.spotify.com/track/37o0LxdGxiF3chjxjwJwBD,spotify:track:37o0LxdGxiF3chjxjwJwBD,0.616,0.582,11,-5.332,0.0702,0.0115,0.00024,0.098,0.829,171.259,220905
"August 30, 2022 at 04:16PM",Bastards of Light,Red Hot Chili Peppers,5oRG4KJFamOaLASrNaL5Zo,https://open.spotify.com/track/5oRG4KJFamOaLASrNaL5Zo,spotify:track:5oRG4KJFamOaLASrNaL5Zo,0.637,0.722,9,-6.836,0.0399,0.0253,1.45e-06,0.0708,0.291,106.665,218933
"August 30, 2022 at 04:27PM",White Braids & Pillow Chair,Red Hot Chili Peppers,62MNMZaNTYWqjsD0Isce0l,https://open.spotify.com/track/62MNMZaNTYWqjsD0Isce0l,spotify:track:62MNMZaNTYWqjsD0Isce0l,0.579,0.61,1,-7.39,0.0315,0.0486,0.107,0.134,0.9,107.657,220523
"August 31, 2022 at 06:30AM",The Great Apes,Red Hot Chili Peppers,5Ek9NwB6PD3QNCDdSUJK5x,https://open.spotify.com/track/5Ek9NwB6PD3QNCDdSUJK5x,spotify:track:5Ek9NwB6PD3QNCDdSUJK5x,0.528,0.882,9,-5.146,0.0842,0.0196,0.000226,0.146,0.463,140.722,301829
"August 31, 2022 at 06:36AM",It's Only Natural,Red Hot Chili Peppers,2p0W20VwOJpXt323xv8OAJ,https://open.spotify.com/track/2p0W20VwOJpXt323xv8OAJ,spotify:track:2p0W20VwOJpXt323xv8OAJ,0.556,0.64,5,-6.965,0.0412,0.075,0.027,0.321,0.708,185.607,333547
"August 31, 2022 at 06:39AM",She's a Lover,Red Hot Chili Peppers,4c4TCbToFf6X8CncWJuHa3,https://open.spotify.com/track/4c4TCbToFf6X8CncWJuHa3,spotify:track:4c4TCbToFf6X8CncWJuHa3,0.726,0.606,5,-4.727,0.0348,0.00239,0.0065,0.111,0.419,104.724,221093
"August 31, 2022 at 06:43AM",These Are the Ways,Red Hot Chili Peppers,1KtXgVTeu3GUXHrOAef6QQ,https://open.spotify.com/track/1KtXgVTeu3GUXHrOAef6QQ,spotify:track:1KtXgVTeu3GUXHrOAef6QQ,0.42,0.905,9,-5.419,0.0804,0.00016,0.0212,0.253,0.306,127.62,236217
"August 31, 2022 at 06:47AM",Whatchu Thinkin',Red Hot Chili Peppers,37o0LxdGxiF3chjxjwJwBD,https://open.spotify.com/track/37o0LxdGxiF3chjxjwJwBD,spotify:track:37o0LxdGxiF3chjxjwJwBD,0.616,0.582,11,-5.332,0.0702,0.0115,0.00024,0.098,0.829,171.259,220905
"August 31, 2022 at 06:51AM",Bastards of Light,Red Hot Chili Peppers,5oRG4KJFamOaLASrNaL5Zo,https://open.spotify.com/track/5oRG4KJFamOaLASrNaL5Zo,spotify:track:5oRG4KJFamOaLASrNaL5Zo,0.637,0.722,9,-6.836,0.0399,0.0253,1.45e-06,0.0708,0.291,106.665,218933
"August 31, 2022 at 06:54AM",White Braids & Pillow Chair,Red Hot Chili Peppers,62MNMZaNTYWqjsD0Isce0l,https://open.spotify.com/track/62MNMZaNTYWqjsD0Isce0l,spotify:track:62MNMZaNTYWqjsD0Isce0l,0.579,0.61,1,-7.39,0.0315,0.0486,0.107,0.134,0.9,107.657,220523
"August 31, 2022 at 07:08AM",One Way Traffic,Red Hot Chili Peppers,6tCe3xmLW5PutAgf6QuuOB,https://open.spotify.com/track/6tCe3xmLW5PutAgf6QuuOB,spotify:track:6tCe3xmLW5PutAgf6QuuOB,0.674,0.893,2,-6.115,0.0396,0.0126,0.000372,0.117,0.152,116.857,250670
"August 31, 2022 at 09:30AM",Automatic Stop,The Strokes,6DUKQUhWqUySYngLXLNwP2,https://open.spotify.com/track/6DUKQUhWqUySYngLXLNwP2,spotify:track:6DUKQUhWqUySYngLXLNwP2,0.675,0.535,1,-6.109,0.0376,0.00329,0.719,0.104,0.914,105.921,207133
"August 31, 2022 at 09:34AM",12:51,The Strokes,6Yu1OL8I0D4vjOzYdsXYGK,https://open.spotify.com/track/6Yu1OL8I0D4vjOzYdsXYGK,spotify:track:6Yu1OL8I0D4vjOzYdsXYGK,0.451,0.889,4,-3.838,0.0379,0.312,0.8,0.558,0.592,145.056,153133
"August 31, 2022 at 09:37AM",You Talk Way Too Much,The Strokes,6lnnaGN20kl0jEYJSxCgU9,https://open.spotify.com/track/6lnnaGN20kl0jEYJSxCgU9,spotify:track:6lnnaGN20kl0jEYJSxCgU9,0.304,0.971,4,-3.226,0.0351,0.0594,0.955,0.0799,0.695,127.856,186267
"August 31, 2022 at 09:40AM",Between Love & Hate,The Strokes,5OmumaYiHYXUsYZPGLFTYJ,https://open.spotify.com/track/5OmumaYiHYXUsYZPGLFTYJ,spotify:track:5OmumaYiHYXUsYZPGLFTYJ,0.455,0.603,9,-4.919,0.0255,6.34e-05,0.53,0.0966,0.539,104.179,196573
"August 31, 2022 at 09:44AM",Meet Me in the Bathroom,The Strokes,08l9WKDuRyGeStQ9ojTlFh,https://open.spotify.com/track/08l9WKDuRyGeStQ9ojTlFh,spotify:track:08l9WKDuRyGeStQ9ojTlFh,0.427,0.941,7,-3.973,0.0336,6.7e-05,0.89,0.0772,0.587,139.956,176160
"August 31, 2022 at 09:47AM",Under Control,The Strokes,3kKb3U3a8jmUJQB9ypE1Jl,https://open.spotify.com/track/3kKb3U3a8jmUJQB9ypE1Jl,spotify:track:3kKb3U3a8jmUJQB9ypE1Jl,0.406,0.72,1,-4.647,0.0291,0.354,0.795,0.0541,0.641,91.336,187307
"August 31, 2022 at 09:50AM",The Way It Is,The Strokes,5MZBOcqI3Vpvp2PZy6ddyD,https://open.spotify.com/track/5MZBOcqI3Vpvp2PZy6ddyD,spotify:track:5MZBOcqI3Vpvp2PZy6ddyD,0.482,0.95,11,-2.593,0.0495,0.000214,0.883,0.0938,0.856,137.074,141733
"August 31, 2022 at 09:54AM",The End Has No End,The Strokes,0dy6iXYIF0piirySAzCBwF,https://open.spotify.com/track/0dy6iXYIF0piirySAzCBwF,spotify:track:0dy6iXYIF0piirySAzCBwF,0.531,0.66,1,-3.725,0.0335,0.000833,0.855,0.226,0.533,136.027,185560
"August 31, 2022 at 09:57AM",I Can't Win,The Strokes,7eX5SypK35V8Y9d9pS6rWy,https://open.spotify.com/track/7eX5SypK35V8Y9d9pS6rWy,spotify:track:7eX5SypK35V8Y9d9pS6rWy,0.472,0.746,11,-4.816,0.0321,0.00581,0.663,0.0999,0.403,97.44,162040
"August 31, 2022 at 10:15AM",You Only Live Once,The Strokes,4fPBB44eDH71YohayI4eKV,https://open.spotify.com/track/4fPBB44eDH71YohayI4eKV,spotify:track:4fPBB44eDH71YohayI4eKV,0.63,0.908,11,-2.42,0.0326,0.0238,0.592,0.116,0.968,120.522,189227
"August 31, 2022 at 03:57PM",Tippa My Tongue,Red Hot Chili Peppers,3s53zBEi1ZU6dJj19eFOxW,https://open.spotify.com/track/3s53zBEi1ZU6dJj19eFOxW,spotify:track:3s53zBEi1ZU6dJj19eFOxW,0.573,0.913,5,-6.52,0.0409,0.00861,0.0273,0.114,0.795,88.418,260810
"August 31, 2022 at 04:02PM",Poster Child,Red Hot Chili Peppers,6LwwlI0IvFTN6DRUDdkkT8,https://open.spotify.com/track/6LwwlI0IvFTN6DRUDdkkT8,spotify:track:6LwwlI0IvFTN6DRUDdkkT8,0.714,0.784,7,-5.423,0.0528,0.0467,0.00824,0.124,0.72,165.229,318422
"August 31, 2022 at 04:08PM",The Great Apes,Red Hot Chili Peppers,5Ek9NwB6PD3QNCDdSUJK5x,https://open.spotify.com/track/5Ek9NwB6PD3QNCDdSUJK5x,spotify:track:5Ek9NwB6PD3QNCDdSUJK5x,0.528,0.882,9,-5.146,0.0842,0.0196,0.000226,0.146,0.463,140.722,301829
"August 31, 2022 at 04:13PM",It's Only Natural,Red Hot Chili Peppers,2p0W20VwOJpXt323xv8OAJ,https://open.spotify.com/track/2p0W20VwOJpXt323xv8OAJ,spotify:track:2p0W20VwOJpXt323xv8OAJ,0.556,0.64,5,-6.965,0.0412,0.075,0.027,0.321,0.708,185.607,333547
"August 31, 2022 at 04:17PM",She's a Lover,Red Hot Chili Peppers,4c4TCbToFf6X8CncWJuHa3,https://open.spotify.com/track/4c4TCbToFf6X8CncWJuHa3,spotify:track:4c4TCbToFf6X8CncWJuHa3,0.726,0.606,5,-4.727,0.0348,0.00239,0.0065,0.111,0.419,104.724,221093
"August 31, 2022 at 04:21PM",These Are the Ways,Red Hot Chili Peppers,1KtXgVTeu3GUXHrOAef6QQ,https://open.spotify.com/track/1KtXgVTeu3GUXHrOAef6QQ,spotify:track:1KtXgVTeu3GUXHrOAef6QQ,0.42,0.905,9,-5.419,0.0804,0.00016,0.0212,0.253,0.306,127.62,236217
"August 31, 2022 at 04:26PM",Whatchu Thinkin',Red Hot Chili Peppers,37o0LxdGxiF3chjxjwJwBD,https://open.spotify.com/track/37o0LxdGxiF3chjxjwJwBD,spotify:track:37o0LxdGxiF3chjxjwJwBD,0.616,0.582,11,-5.332,0.0702,0.0115,0.00024,0.098,0.829,171.259,220905
"August 31, 2022 at 04:39PM",Bastards of Light,Red Hot Chili Peppers,5oRG4KJFamOaLASrNaL5Zo,https://open.spotify.com/track/5oRG4KJFamOaLASrNaL5Zo,spotify:track:5oRG4KJFamOaLASrNaL5Zo,0.637,0.722,9,-6.836,0.0399,0.0253,1.45e-06,0.0708,0.291,106.665,218933
"August 31, 2022 at 08:12PM",Superficial,Lawrence,2nFDM7uMOdPGPz37FluIob,https://open.spotify.com/track/2nFDM7uMOdPGPz37FluIob,spotify:track:2nFDM7uMOdPGPz37FluIob,0.674,0.502,1,-7.603,0.24,0.567,0.0,0.11,0.286,100.212,248027
"August 31, 2022 at 08:25PM",The Heartburn Song,Lawrence,5kuABYhjUZDGilU3H5hQJv,https://open.spotify.com/track/5kuABYhjUZDGilU3H5hQJv,spotify:track:5kuABYhjUZDGilU3H5hQJv,0.672,0.823,10,-5.404,0.0896,0.434,2.23e-06,0.0692,0.729,93.014,251293
"September 1, 2022 at 09:47AM",Funny Thing,Thundercat,1c5CllrZr45UBhWpIqM332,https://open.spotify.com/track/1c5CllrZr45UBhWpIqM332,spotify:track:1c5CllrZr45UBhWpIqM332,0.586,0.893,7,-8.772,0.439,0.827,0.642,0.212,0.65,140.023,116630
"September 1, 2022 at 09:53AM",Poster Child,Red Hot Chili Peppers,6LwwlI0IvFTN6DRUDdkkT8,https://open.spotify.com/track/6LwwlI0IvFTN6DRUDdkkT8,spotify:track:6LwwlI0IvFTN6DRUDdkkT8,0.714,0.784,7,-5.423,0.0528,0.0467,0.00824,0.124,0.72,165.229,318422
"September 1, 2022 at 10:07AM",The Great Apes,Red Hot Chili Peppers,5Ek9NwB6PD3QNCDdSUJK5x,https://open.spotify.com/track/5Ek9NwB6PD3QNCDdSUJK5x,spotify:track:5Ek9NwB6PD3QNCDdSUJK5x,0.528,0.882,9,-5.146,0.0842,0.0196,0.000226,0.146,0.463,140.722,301829
"September 1, 2022 at 02:53PM",Blank Space,Taylor Swift,1u8c2t2Cy7UBoG4ArRcF5g,https://open.spotify.com/track/1u8c2t2Cy7UBoG4ArRcF5g,spotify:track:1u8c2t2Cy7UBoG4ArRcF5g,0.76,0.703,5,-5.412,0.054,0.103,0.0,0.0913,0.57,95.997,231827
"September 1, 2022 at 03:44PM",right where you left me - bonus track,Taylor Swift,3zwMVvkBe2qIKDObWgXw4N,https://open.spotify.com/track/3zwMVvkBe2qIKDObWgXw4N,spotify:track:3zwMVvkBe2qIKDObWgXw4N,0.581,0.619,10,-6.524,0.0282,0.769,0.000106,0.117,0.645,137.915,245027
"September 1, 2022 at 03:47PM",Gasoline (feat. Taylor Swift),HAIM,2bzUVEvpZ7At5cYz1kOLI9,https://open.spotify.com/track/2bzUVEvpZ7At5cYz1kOLI9,spotify:track:2bzUVEvpZ7At5cYz1kOLI9,0.658,0.717,1,-4.257,0.0633,0.0846,0.0022,0.12,0.595,133.074,193373
"September 1, 2022 at 03:51PM",cardigan,Taylor Swift,4R2kfaDFhslZEMJqAFNpdd,https://open.spotify.com/track/4R2kfaDFhslZEMJqAFNpdd,spotify:track:4R2kfaDFhslZEMJqAFNpdd,0.613,0.581,0,-8.588,0.0424,0.537,0.000345,0.25,0.551,130.033,239560
"September 1, 2022 at 03:54PM",Cruel Summer,Taylor Swift,1BxfuPKGuaTgP7aM0Bbdwr,https://open.spotify.com/track/1BxfuPKGuaTgP7aM0Bbdwr,spotify:track:1BxfuPKGuaTgP7aM0Bbdwr,0.552,0.702,9,-5.707,0.157,0.117,2.06e-05,0.105,0.564,169.994,178427
