date,track_name,artist_name,uri,link
"August 28, 2022 at 08:06AM",Under Control,The Strokes,3kKb3U3a8jmUJQB9ypE1Jl,https://open.spotify.com/track/3kKb3U3a8jmUJQB9ypE1Jl
"August 28, 2022 at 08:08AM",The Way It Is,The Strokes,5MZBOcqI3Vpvp2PZy6ddyD,https://open.spotify.com/track/5MZBOcqI3Vpvp2PZy6ddyD
"August 28, 2022 at 08:11AM",The End Has No End,The Strokes,0dy6iXYIF0piirySAzCBwF,https://open.spotify.com/track/0dy6iXYIF0piirySAzCBwF
"August 28, 2022 at 08:14AM",I Can't Win,The Strokes,7eX5SypK35V8Y9d9pS6rWy,https://open.spotify.com/track/7eX5SypK35V8Y9d9pS6rWy
"August 28, 2022 at 08:18AM",You Only Live Once,The Strokes,4fPBB44eDH71YohayI4eKV,https://open.spotify.com/track/4fPBB44eDH71YohayI4eKV
"August 28, 2022 at 10:25PM",Do You Wanna Do Nothing with Me?,Lawrence,2M7UdnD0fEaryh8TnCvqFX,https://open.spotify.com/track/2M7UdnD0fEaryh8TnCvqFX
"August 28, 2022 at 10:29PM",Misty Morning,Lawrence,6LqZFfv4fUP7va14Y6VW9a,https://open.spotify.com/track/6LqZFfv4fUP7va14Y6VW9a
"August 28, 2022 at 10:34PM",Probably Up,Lawrence,13HalBseZHAT19C6jWs1Ma,https://open.spotify.com/track/13HalBseZHAT19C6jWs1Ma
"August 28, 2022 at 10:38PM",So Damn Fast,Lawrence,04VtzZ6KCEZLoEomgVR4ln,https://open.spotify.com/track/04VtzZ6KCEZLoEomgVR4ln
"August 28, 2022 at 10:41PM",Casualty,Lawrence,6nwxT0W6u4JYDGK5iyBOYt,https://open.spotify.com/track/6nwxT0W6u4JYDGK5iyBOYt
"August 28, 2022 at 10:43PM",Me & You,Lawrence,1v6bHfpBDaWD6tq8EE8AYG,https://open.spotify.com/track/1v6bHfpBDaWD6tq8EE8AYG
"August 28, 2022 at 08:29AM",Never Never,The Libertines,67ro5CI8btmAJsYfYKvM29,https://open.spotify.com/track/67ro5CI8btmAJsYfYKvM29
"August 29, 2022 at 03:37PM",Leaning On You,HAIM,6pp50upMirG815dEShJG7H,https://open.spotify.com/track/6pp50upMirG815dEShJG7H
"August 29, 2022 at 03:47PM",Don't Wanna,HAIM,2GfQSB0wEEWYX4a2Go645R,https://open.spotify.com/track/2GfQSB0wEEWYX4a2Go645R
"August 30, 2022 at 11:39AM",There’d Better Be A Mirrorball,Arctic Monkeys,0yowbJnnbTLpr99f9l1uba,https://open.spotify.com/track/0yowbJnnbTLpr99f9l1uba
"August 30, 2022 at 11:42AM",Snap Out Of It,Arctic Monkeys,0NdTUS4UiNYCNn5FgVqKQY,https://open.spotify.com/track/0NdTUS4UiNYCNn5FgVqKQY
"August 30, 2022 at 11:46AM",Black Summer,Red Hot Chili Peppers,2a5cbTg2UIi784t9E2wT35,https://open.spotify.com/track/2a5cbTg2UIi784t9E2wT35
"August 30, 2022 at 11:50AM",Here Ever After,Red Hot Chili Peppers,0zckHMfaB6vT5o23ZVBLHJ,https://open.spotify.com/track/0zckHMfaB6vT5o23ZVBLHJ
"August 30, 2022 at 11:54AM",Aquatic Mouth Dance,Red Hot Chili Peppers,38Ow67MO6ScViFHK1j2qgN,https://open.spotify.com/track/38Ow67MO6ScViFHK1j2qgN
"August 30, 2022 at 11:59AM",Not the One,Red Hot Chili Peppers,2Uze78n7BgWsV91bUMtflX,https://open.spotify.com/track/2Uze78n7BgWsV91bUMtflX
"August 30, 2022 at 03:44PM",Poster Child,Red Hot Chili Peppers,6LwwlI0IvFTN6DRUDdkkT8,https://open.spotify.com/track/6LwwlI0IvFTN6DRUDdkkT8
"August 30, 2022 at 03:49PM",Poster Child,Red Hot Chili Peppers,6LwwlI0IvFTN6DRUDdkkT8,https://open.spotify.com/track/6LwwlI0IvFTN6DRUDdkkT8
"August 30, 2022 at 03:54PM",The Great Apes,Red Hot Chili Peppers,5Ek9NwB6PD3QNCDdSUJK5x,https://open.spotify.com/track/5Ek9NwB6PD3QNCDdSUJK5x
"August 30, 2022 at 04:00PM",It's Only Natural,Red Hot Chili Peppers,2p0W20VwOJpXt323xv8OAJ,https://open.spotify.com/track/2p0W20VwOJpXt323xv8OAJ
"August 30, 2022 at 04:03PM",She's a Lover,Red Hot Chili Peppers,4c4TCbToFf6X8CncWJuHa3,https://open.spotify.com/track/4c4TCbToFf6X8CncWJuHa3
"August 30, 2022 at 04:07PM",These Are the Ways,Red Hot Chili Peppers,1KtXgVTeu3GUXHrOAef6QQ,https://open.spotify.com/track/1KtXgVTeu3GUXHrOAef6QQ
"August 30, 2022 at 04:11PM",Whatchu Thinkin',Red Hot Chili Peppers,37o0LxdGxiF3chjxjwJwBD,https://open.spotify.com/track/37o0LxdGxiF3chjxjwJwBD
"August 30, 2022 at 04:16PM",Bastards of Light,Red Hot Chili Peppers,5oRG4KJFamOaLASrNaL5Zo,https://open.spotify.com/track/5oRG4KJFamOaLASrNaL5Zo
"August 30, 2022 at 04:27PM",White Braids & Pillow Chair,Red Hot Chili Peppers,62MNMZaNTYWqjsD0Isce0l,https://open.spotify.com/track/62MNMZaNTYWqjsD0Isce0l
"August 31, 2022 at 06:30AM",The Great Apes,Red Hot Chili Peppers,5Ek9NwB6PD3QNCDdSUJK5x,https://open.spotify.com/track/5Ek9NwB6PD3QNCDdSUJK5x
"August 31, 2022 at 06:36AM",It's Only Natural,Red Hot Chili Peppers,2p0W20VwOJpXt323xv8OAJ,https://open.spotify.com/track/2p0W20VwOJpXt323xv8OAJ
"August 31, 2022 at 06:39AM",She's a Lover,Red Hot Chili Peppers,4c4TCbToFf6X8CncWJuHa3,https://open.spotify.com/track/4c4TCbToFf6X8CncWJuHa3
"August 31, 2022 at 06:43AM",These Are the Ways,Red Hot Chili Peppers,1KtXgVTeu3GUXHrOAef6QQ,https://open.spotify.com/track/1KtXgVTeu3GUXHrOAef6QQ
"August 31, 2022 at 06:47AM",Whatchu Thinkin',Red Hot Chili Peppers,37o0LxdGxiF3chjxjwJwBD,https://open.spotify.com/track/37o0LxdGxiF3chjxjwJwBD
"August 31, 2022 at 06:51AM",Bastards of Light,Red Hot Chili Peppers,5oRG4KJFamOaLASrNaL5Zo,https://open.spotify.com/track/5oRG4KJFamOaLASrNaL5Zo
"August 31, 2022 at 06:54AM",White Braids & Pillow Chair,Red Hot Chili Peppers,62MNMZaNTYWqjsD0Isce0l,https://open.spotify.com/track/62MNMZaNTYWqjsD0Isce0l
"August 31, 2022 at 07:08AM",One Way Traffic,Red Hot Chili Peppers,6tCe3xmLW5PutAgf6QuuOB,https://open.spotify.com/track/6tCe3xmLW5PutAgf6QuuOB
"August 31, 2022 at 09:30AM",Automatic Stop,The Strokes,6DUKQUhWqUySYngLXLNwP2,https://open.spotify.com/track/6DUKQUhWqUySYngLXLNwP2
"August 31, 2022 at 09:34AM",12:51,The Strokes,6Yu1OL8I0D4vjOzYdsXYGK,https://open.spotify.com/track/6Yu1OL8I0D4vjOzYdsXYGK
"August 31, 2022 at 09:37AM",You Talk Way Too Much,The Strokes,6lnnaGN20kl0jEYJSxCgU9,https://open.spotify.com/track/6lnnaGN20kl0jEYJSxCgU9
"August 31, 2022 at 09:40AM",Between Love & Hate,The Strokes,5OmumaYiHYXUsYZPGLFTYJ,https://open.spotify.com/track/5OmumaYiHYXUsYZPGLFTYJ
"August 31, 2022 at 09:44AM",Meet Me in the Bathroom,The Strokes,08l9WKDuRyGeStQ9ojTlFh,https://open.spotify.com/track/08l9WKDuRyGeStQ9ojTlFh
"August 31, 2022 at 09:47AM",Under Control,The Strokes,3kKb3U3a8jmUJQB9ypE1Jl,https://open.spotify.com/track/3kKb3U3a8jmUJQB9ypE1Jl
"August 31, 2022 at 09:50AM",The Way It Is,The Strokes,5MZBOcqI3Vpvp2PZy6ddyD,https://open.spotify.com/track/5MZBOcqI3Vpvp2PZy6ddyD
"August 31, 2022 at 09:54AM",The End Has No End,The Strokes,0dy6iXYIF0piirySAzCBwF,https://open.spotify.com/track/0dy6iXYIF0piirySAzCBwF
"August 31, 2022 at 09:57AM",I Can't Win,The Strokes,7eX5SypK35V8Y9d9pS6rWy,https://open.spotify.com/track/7eX5SypK35V8Y9d9pS6rWy
"August 31, 2022 at 10:15AM",You Only Live Once,The Strokes,4fPBB44eDH71YohayI4eKV,https://open.spotify.com/track/4fPBB44eDH71YohayI4eKV
"August 31, 2022 at 03:57PM",Tippa My Tongue,Red Hot Chili Peppers,3s53zBEi1ZU6dJj19eFOxW,https://open.spotify.com/track/3s53zBEi1ZU6dJj19eFOxW
"August 31, 2022 at 04:02PM",Poster Child,Red Hot Chili Peppers,6LwwlI0IvFTN6DRUDdkkT8,https://open.spotify.com/track/6LwwlI0IvFTN6DRUDdkkT8
"August 31, 2022 at 04:08PM",The Great Apes,Red Hot Chili Peppers,5Ek9NwB6PD3QNCDdSUJK5x,https://open.spotify.com/track/5Ek9NwB6PD3QNCDdSUJK5x
"August 31, 2022 at 04:13PM",It's Only Natural,Red Hot Chili Peppers,2p0W20VwOJpXt323xv8OAJ,https://open.spotify.com/track/2p0W20VwOJpXt323xv8OAJ
"August 31, 2022 at 04:17PM",She's a Lover,Red Hot Chili Peppers,4c4TCbToFf6X8CncWJuHa3,https://open.spotify.com/track/4c4TCbToFf6X8CncWJuHa3
"August 31, 2022 at 04:21PM",These Are the Ways,Red Hot Chili Peppers,1KtXgVTeu3GUXHrOAef6QQ,https://open.spotify.com/track/1KtXgVTeu3GUXHrOAef6QQ
"August 31, 2022 at 04:26PM",Whatchu Thinkin',Red Hot Chili Peppers,37o0LxdGxiF3chjxjwJwBD,https://open.spotify.com/track/37o0LxdGxiF3chjxjwJwBD
"August 31, 2022 at 04:39PM",Bastards of Light,Red Hot Chili Peppers,5oRG4KJFamOaLASrNaL5Zo,https://open.spotify.com/track/5oRG4KJFamOaLASrNaL5Zo
"August 31, 2022 at 08:12PM",Superficial,Lawrence,2nFDM7uMOdPGPz37FluIob,https://open.spotify.com/track/2nFDM7uMOdPGPz37FluIob
"August 31, 2022 at 08:25PM",The Heartburn Song,Lawrence,5kuABYhjUZDGilU3H5hQJv,https://open.spotify.com/track/5kuABYhjUZDGilU3H5hQJv
"September 1, 2022 at 09:47AM",Funny Thing,Thundercat,1c5CllrZr45UBhWpIqM332,https://open.spotify.com/track/1c5CllrZr45UBhWpIqM332
"September 1, 2022 at 09:53AM",Poster Child,Red Hot Chili Peppers,6LwwlI0IvFTN6DRUDdkkT8,https://open.spotify.com/track/6LwwlI0IvFTN6DRUDdkkT8
"September 1, 2022 at 10:07AM",The Great Apes,Red Hot Chili Peppers,5Ek9NwB6PD3QNCDdSUJK5x,https://open.spotify.com/track/5Ek9NwB6PD3QNCDdSUJK5x
"September 1, 2022 at 02:53PM",Blank Space,Taylor Swift,1u8c2t2Cy7UBoG4ArRcF5g,https://open.spotify.com/track/1u8c2t2Cy7UBoG4ArRcF5g
"September 1, 2022 at 03:44PM",right where you left me - bonus track,Taylor Swift,3zwMVvkBe2qIKDObWgXw4N,https://open.spotify.com/track/3zwMVvkBe2qIKDObWgXw4N
"September 1, 2022 at 03:47PM",Gasoline (feat. Taylor Swift),HAIM,2bzUVEvpZ7At5cYz1kOLI9,https://open.spotify.com/track/2bzUVEvpZ7At5cYz1kOLI9
"September 1, 2022 at 03:51PM",cardigan,Taylor Swift,4R2kfaDFhslZEMJqAFNpdd,https://open.spotify.com/track/4R2kfaDFhslZEMJqAFNpdd
"September 1, 2022 at 03:54PM",Cruel Summer,Taylor Swift,1BxfuPKGuaTgP7aM0Bbdwr,https://open.spotify.com/track/1BxfuPKGuaTgP7aM0Bbdwr
"September 1, 2022 at 04:04PM",Getaway Car,Taylor Swift,0VE4kBnHJUgtMf0dy6DRmW,https://open.spotify.com/track/0VE4kBnHJUgtMf0dy6DRmW
"September 1, 2022 at 08:18PM",Getaway Car,Taylor Swift,0VE4kBnHJUgtMf0dy6DRmW,https://open.spotify.com/track/0VE4kBnHJUgtMf0dy6DRmW
"September 1, 2022 at 08:22PM",Gasoline (feat. Taylor Swift),HAIM,2bzUVEvpZ7At5cYz1kOLI9,https://open.spotify.com/track/2bzUVEvpZ7At5cYz1kOLI9
"September 1, 2022 at 08:26PM",Delicate,Taylor Swift,6NFyWDv5CjfwuzoCkw47Xf,https://open.spotify.com/track/6NFyWDv5CjfwuzoCkw47Xf
"September 1, 2022 at 08:30PM",Gorgeous,Taylor Swift,1ZY1PqizIl78geGM4xWlEA,https://open.spotify.com/track/1ZY1PqizIl78geGM4xWlEA
"September 1, 2022 at 08:33PM",Getaway Car,Taylor Swift,0VE4kBnHJUgtMf0dy6DRmW,https://open.spotify.com/track/0VE4kBnHJUgtMf0dy6DRmW
"September 1, 2022 at 08:38PM",Nothing New (feat. Phoebe Bridgers) (Taylor’s Version) (From The Vault),Taylor Swift,01K4zKU104LyJ8gMb7227B,https://open.spotify.com/track/01K4zKU104LyJ8gMb7227B
"September 1, 2022 at 08:41PM",Babe (Taylor's Version) (From The Vault),Taylor Swift,0v4z1tuZvn6LGknom9Qx7d,https://open.spotify.com/track/0v4z1tuZvn6LGknom9Qx7d
"September 1, 2022 at 09:03PM",King Of My Heart,Taylor Swift,7HuBDWi18s4aJM8UFnNheH,https://open.spotify.com/track/7HuBDWi18s4aJM8UFnNheH
"September 2, 2022 at 06:26PM",Dress,Taylor Swift,6oVxXO5oQ4pTpO8RSnkzvv,https://open.spotify.com/track/6oVxXO5oQ4pTpO8RSnkzvv
"September 2, 2022 at 06:29PM",The Very First Night (Taylor's Version) (From The Vault),Taylor Swift,6pYNq0ZwpPVazKzsqpf0G8,https://open.spotify.com/track/6pYNq0ZwpPVazKzsqpf0G8
"September 2, 2022 at 06:33PM",Paper Rings,Taylor Swift,4y5bvROuBDPr5fuwXbIBZR,https://open.spotify.com/track/4y5bvROuBDPr5fuwXbIBZR
"September 2, 2022 at 06:37PM",Treacherous (Taylor's Version),Taylor Swift,3S7HNKPakdwNEBFIVTL6dZ,https://open.spotify.com/track/3S7HNKPakdwNEBFIVTL6dZ
"September 2, 2022 at 06:43PM",Mr. Perfectly Fine (Taylor’s Version) (From The Vault),Taylor Swift,2CYVETnhM9aytqrazYYwrK,https://open.spotify.com/track/2CYVETnhM9aytqrazYYwrK
"September 2, 2022 at 06:47PM",That’s When (feat. Keith Urban) (Taylor’s Version) (From The Vault),Taylor Swift,7eResoqEJJAVTkQYSqvO3P,https://open.spotify.com/track/7eResoqEJJAVTkQYSqvO3P
"September 2, 2022 at 06:51PM",This Love (Taylor’s Version),Taylor Swift,4d1CG5ei1E2vGbvmgf5KKv,https://open.spotify.com/track/4d1CG5ei1E2vGbvmgf5KKv
"September 2, 2022 at 06:56PM",Begin Again (Taylor's Version),Taylor Swift,05GsNucq8Bngd9fnd4fRa0,https://open.spotify.com/track/05GsNucq8Bngd9fnd4fRa0
"September 2, 2022 at 07:06PM",Everything Has Changed (feat. Ed Sheeran) (Taylor’s Version),Taylor Swift,7qEUFOVcxRI19tbT68JcYK,https://open.spotify.com/track/7qEUFOVcxRI19tbT68JcYK
"September 2, 2022 at 10:01PM",The Background,Gratis,24xoo0XjOj4oj3HSc0veDS,https://open.spotify.com/track/24xoo0XjOj4oj3HSc0veDS
"September 2, 2022 at 10:03PM",Holiday,Danny Dwyer,0kvW3O8xkA4GHn2qad7UdY,https://open.spotify.com/track/0kvW3O8xkA4GHn2qad7UdY
"September 2, 2022 at 10:07PM",Lovely,TOLEDO,0iaI2JPMeojXET6hnKits3,https://open.spotify.com/track/0iaI2JPMeojXET6hnKits3
"September 2, 2022 at 10:10PM",Autumn in NY,Huck,2wUYftXgLYXHTp0bhwLmKS,https://open.spotify.com/track/2wUYftXgLYXHTp0bhwLmKS
"September 2, 2022 at 10:14PM",Young Mother,Youth Basketball,6pJxHj2pXldIFcIQqf62Xo,https://open.spotify.com/track/6pJxHj2pXldIFcIQqf62Xo
"September 2, 2022 at 10:17PM",You Should Go,Gratis,6YkROmgHwI9OHKaA8OsKLj,https://open.spotify.com/track/6YkROmgHwI9OHKaA8OsKLj
"September 2, 2022 at 10:19PM",Moonracer,Tommi Waring,3odWmLWTcGQc3ZIziKI8oh,https://open.spotify.com/track/3odWmLWTcGQc3ZIziKI8oh
"September 2, 2022 at 10:21PM",Placid,Camp Howard,7AQyuoS2cEBNH6Fejb50Og,https://open.spotify.com/track/7AQyuoS2cEBNH6Fejb50Og
"September 2, 2022 at 10:24PM",Boy,Purr,2yD8Af6ptCYPEf3tIfZEee,https://open.spotify.com/track/2yD8Af6ptCYPEf3tIfZEee
"September 2, 2022 at 10:29PM",CULPRIT,Kid Bloom,0rrTFN2UCw01yeXbw1gg3n,https://open.spotify.com/track/0rrTFN2UCw01yeXbw1gg3n
"September 2, 2022 at 10:32PM",Waves,Pink Skies,4frSk7RBfDRGXYGEMbPkfF,https://open.spotify.com/track/4frSk7RBfDRGXYGEMbPkfF
"September 2, 2022 at 10:36PM",Two in the Morning,Gratis,6x82Gi2AvJfsJ9CpP2ciqZ,https://open.spotify.com/track/6x82Gi2AvJfsJ9CpP2ciqZ
"September 2, 2022 at 10:38PM",Living Safe,Makeup Girl,1fTyvrd2Ozye3r7LvayI9j,https://open.spotify.com/track/1fTyvrd2Ozye3r7LvayI9j
"September 2, 2022 at 10:41PM",Skinny Dip,Pretoria,1QB4dSNfSzrCh8ONqOdDkf,https://open.spotify.com/track/1QB4dSNfSzrCh8ONqOdDkf
"September 2, 2022 at 10:44PM",Holy Smokes,New Islands,5xgSF9VUJUhRrM84g2h5dT,https://open.spotify.com/track/5xgSF9VUJUhRrM84g2h5dT
"September 2, 2022 at 10:46PM",Superbloom,Ruby Red,64mA6EQTOMVLpBE5lRP0t3,https://open.spotify.com/track/64mA6EQTOMVLpBE5lRP0t3
"September 2, 2022 at 10:50PM",Andy - Audiotree Live Version,Last Dinosaurs,7p1wKHq0Hrm7GdZmfxLEsn,https://open.spotify.com/track/7p1wKHq0Hrm7GdZmfxLEsn
"September 2, 2022 at 10:55PM",Afraid Too,Gratis,4WtyiQudkvBfCxpxR2WZzI,https://open.spotify.com/track/4WtyiQudkvBfCxpxR2WZzI
"September 2, 2022 at 10:57PM",Thanks,Indigo Waves,3I2aeIXlvephDLmh1Q1BR0,https://open.spotify.com/track/3I2aeIXlvephDLmh1Q1BR0
"September 2, 2022 at 11:00PM",Pick Up,Donny Electric,28gWTbCkqscZe6f7CofWOn,https://open.spotify.com/track/28gWTbCkqscZe6f7CofWOn
"September 2, 2022 at 11:03PM",If I Was a Number,Clones of Clones,1iH1oRl8PI4w8ClI86cNDy,https://open.spotify.com/track/1iH1oRl8PI4w8ClI86cNDy
"September 2, 2022 at 11:06PM",Tense,King Velvet,2UDrRHM82zuH9Tcppk3Ymm,https://open.spotify.com/track/2UDrRHM82zuH9Tcppk3Ymm
"September 2, 2022 at 11:10PM",Henry Says I Love You,Maryanne Bold,5tn11fd7ysfuDdnWNvRtPl,https://open.spotify.com/track/5tn11fd7ysfuDdnWNvRtPl
"September 2, 2022 at 11:14PM",Android Eyes,Gratis,4OZSiBu44SZ8MWi5uV7PyQ,https://open.spotify.com/track/4OZSiBu44SZ8MWi5uV7PyQ
"September 2, 2022 at 11:17PM",Cant Let Go,Indigo Waves,7Kek56Nf1StTvTzASpFOA0,https://open.spotify.com/track/7Kek56Nf1StTvTzASpFOA0
"September 2, 2022 at 11:19PM",Long Gone,Americanadian,0OnIsgh4rX4mM65qYnZRmf,https://open.spotify.com/track/0OnIsgh4rX4mM65qYnZRmf
"September 2, 2022 at 11:22PM",Ahead,nickname jos,17X6CaK58py6F0zIkz2JpS,https://open.spotify.com/track/17X6CaK58py6F0zIkz2JpS
"September 2, 2022 at 11:25PM",Laying on the Grass,Sugarloaf Beach,08sqPueGsXEDbz88v1JoGu,https://open.spotify.com/track/08sqPueGsXEDbz88v1JoGu
"September 2, 2022 at 11:27PM",New Me,Selmer,6pKtO7orWayx7gPlTVspF2,https://open.spotify.com/track/6pKtO7orWayx7gPlTVspF2
"September 2, 2022 at 11:31PM",Is This Your Man,Gratis,2cctM6lnhloqRIJ6VuTTtr,https://open.spotify.com/track/2cctM6lnhloqRIJ6VuTTtr
"September 2, 2022 at 11:36PM",Ahead,nickname jos,17X6CaK58py6F0zIkz2JpS,https://open.spotify.com/track/17X6CaK58py6F0zIkz2JpS
"September 2, 2022 at 11:39PM",Laying on the Grass,Sugarloaf Beach,08sqPueGsXEDbz88v1JoGu,https://open.spotify.com/track/08sqPueGsXEDbz88v1JoGu
"September 2, 2022 at 11:41PM",New Me,Selmer,6pKtO7orWayx7gPlTVspF2,https://open.spotify.com/track/6pKtO7orWayx7gPlTVspF2
"September 2, 2022 at 11:45PM",Is This Your Man,Gratis,2cctM6lnhloqRIJ6VuTTtr,https://open.spotify.com/track/2cctM6lnhloqRIJ6VuTTtr
"September 2, 2022 at 11:48PM",You Should Go,Gratis,6YkROmgHwI9OHKaA8OsKLj,https://open.spotify.com/track/6YkROmgHwI9OHKaA8OsKLj
"September 2, 2022 at 11:51PM",The Background,Gratis,4H49xQ3wpiqfPnvu4q0hg7,https://open.spotify.com/track/4H49xQ3wpiqfPnvu4q0hg7
"September 2, 2022 at 11:55PM",Is This Your Man,Gratis,2cctM6lnhloqRIJ6VuTTtr,https://open.spotify.com/track/2cctM6lnhloqRIJ6VuTTtr
"September 3, 2022 at 12:00AM",Android Eyes,Gratis,5EYohAl3MhuSY4stbynd20,https://open.spotify.com/track/5EYohAl3MhuSY4stbynd20
"September 3, 2022 at 12:04AM",Afraid Too,Gratis,4WtyiQudkvBfCxpxR2WZzI,https://open.spotify.com/track/4WtyiQudkvBfCxpxR2WZzI
"September 3, 2022 at 12:07AM",Two in the Morning,Gratis,6x82Gi2AvJfsJ9CpP2ciqZ,https://open.spotify.com/track/6x82Gi2AvJfsJ9CpP2ciqZ
"September 3, 2022 at 12:10AM",This Night Has Opened My Eyes,Hot Flash Heat Wave,1GNp9tSDOgRP70uVOZ92BU,https://open.spotify.com/track/1GNp9tSDOgRP70uVOZ92BU
"September 3, 2022 at 12:12AM",I Don't Think It's Time,Pro Teens,6JyJqa5DyA4HiDXlep2hGq,https://open.spotify.com/track/6JyJqa5DyA4HiDXlep2hGq
"September 3, 2022 at 12:15AM",See You in the Morning,Onion the Man,3ayO77i4HvkQ2tt4ClAOE3,https://open.spotify.com/track/3ayO77i4HvkQ2tt4ClAOE3
"September 3, 2022 at 12:20AM",Soon Enough,The Undercover Dream Lovers,725kJqw9miHaQpEdIpwUGB,https://open.spotify.com/track/725kJqw9miHaQpEdIpwUGB
"September 3, 2022 at 12:23AM",Time Alone,Mild Monk,1S6iAtdW8Bx3aNKOA8H6Kk,https://open.spotify.com/track/1S6iAtdW8Bx3aNKOA8H6Kk
"September 3, 2022 at 12:26AM",Casablanca,Sugarloaf Beach,1LrbAa8DARRlzabb4DOQMQ,https://open.spotify.com/track/1LrbAa8DARRlzabb4DOQMQ
"September 3, 2022 at 12:29AM",Change You,Chasing Daze,3nLOvltaJAqQA0PQ1A5W9P,https://open.spotify.com/track/3nLOvltaJAqQA0PQ1A5W9P
